t,Yt,Yt_trans,t,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11
1,501,4.731070628,1,1,0,0,0,0,0,0,0,0,0,0
2,488,4.700076812,2,0,1,0,0,0,0,0,0,0,0,0
3,504,4.738137221,3,0,0,1,0,0,0,0,0,0,0,0
4,578,4.903226546,4,0,0,0,1,0,0,0,0,0,0,0
5,545,4.831690704,5,0,0,0,0,1,0,0,0,0,0,0
6,632,5.013941581,6,0,0,0,0,0,1,0,0,0,0,0
7,728,5.19436956,7,0,0,0,0,0,0,1,0,0,0,0
8,725,5.189009928,8,0,0,0,0,0,0,0,1,0,0,0
9,585,4.918005007,9,0,0,0,0,0,0,0,0,1,0,0
10,542,4.825027819,10,0,0,0,0,0,0,0,0,0,1,0
11,480,4.680694639,11,0,0,0,0,0,0,0,0,0,0,1
12,530,4.798096379,12,0,0,0,0,0,0,0,0,0,0,0
13,518,4.770703654,13,1,0,0,0,0,0,0,0,0,0,0
14,489,4.70248279,14,0,1,0,0,0,0,0,0,0,0,0
15,528,4.793563454,15,0,0,1,0,0,0,0,0,0,0,0
16,599,4.947168534,16,0,0,0,1,0,0,0,0,0,0,0
17,572,4.890452074,17,0,0,0,0,1,0,0,0,0,0,0
18,659,5.066655239,18,0,0,0,0,0,1,0,0,0,0,0
19,739,5.213880938,19,0,0,0,0,0,0,1,0,0,0,0
20,758,5.247075356,20,0,0,0,0,0,0,0,1,0,0,0
21,602,4.953351218,21,0,0,0,0,0,0,0,0,1,0,0
22,587,4.922203051,22,0,0,0,0,0,0,0,0,0,1,0
23,497,4.721598967,23,0,0,0,0,0,0,0,0,0,0,1
24,558,4.860249337,24,0,0,0,0,0,0,0,0,0,0,0
25,555,4.853703532,25,1,0,0,0,0,0,0,0,0,0,0
26,523,4.782174532,26,0,1,0,0,0,0,0,0,0,0,0
27,532,4.802616494,27,0,0,1,0,0,0,0,0,0,0,0
28,623,4.995995191,28,0,0,0,1,0,0,0,0,0,0,0
29,598,4.945102478,29,0,0,0,0,1,0,0,0,0,0,0
30,683,5.112168688,30,0,0,0,0,0,1,0,0,0,0,0
31,774,5.274547894,31,0,0,0,0,0,0,1,0,0,0,0
32,780,5.284740305,32,0,0,0,0,0,0,0,1,0,0,0
33,609,4.96768813,33,0,0,0,0,0,0,0,0,1,0,0
34,604,4.957460182,34,0,0,0,0,0,0,0,0,0,1,0
35,531,4.800358033,35,0,0,0,0,0,0,0,0,0,0,1
36,592,4.932651429,36,0,0,0,0,0,0,0,0,0,0,0
37,578,4.903226546,37,1,0,0,0,0,0,0,0,0,0,0
38,543,4.827251847,38,0,1,0,0,0,0,0,0,0,0,0
39,565,4.875420869,39,0,0,1,0,0,0,0,0,0,0,0
40,648,5.045378492,40,0,0,0,1,0,0,0,0,0,0,0
41,615,4.979878868,41,0,0,0,0,1,0,0,0,0,0,0
42,697,5.138166751,42,0,0,0,0,0,1,0,0,0,0,0
43,785,5.293189157,43,0,0,0,0,0,0,1,0,0,0,0
44,830,5.367468731,44,0,0,0,0,0,0,0,1,0,0,0
45,645,5.039528767,45,0,0,0,0,0,0,0,0,1,0,0
46,643,5.035617605,46,0,0,0,0,0,0,0,0,0,1,0
47,551,4.844934384,47,0,0,0,0,0,0,0,0,0,0,1
48,606,4.961558954,48,0,0,0,0,0,0,0,0,0,0,0
49,585,4.918005007,49,1,0,0,0,0,0,0,0,0,0,0
50,553,4.849324905,50,0,1,0,0,0,0,0,0,0,0,0
51,576,4.898979486,51,0,0,1,0,0,0,0,0,0,0,0
52,665,5.07814867,52,0,0,0,1,0,0,0,0,0,0,0
53,656,5.060879069,53,0,0,0,0,1,0,0,0,0,0,0
54,720,5.180040128,54,0,0,0,0,0,1,0,0,0,0,0
55,826,5.360990182,55,0,0,0,0,0,0,1,0,0,0,0
56,838,5.380355904,56,0,0,0,0,0,0,0,1,0,0,0
57,652,5.053146611,57,0,0,0,0,0,0,0,0,1,0,0
58,661,5.070495071,58,0,0,0,0,0,0,0,0,0,1,0
59,584,4.915901946,59,0,0,0,0,0,0,0,0,0,0,1
60,644,5.037574325,60,0,0,0,0,0,0,0,0,0,0,0
61,623,4.995995191,61,1,0,0,0,0,0,0,0,0,0,0
62,553,4.849324905,62,0,1,0,0,0,0,0,0,0,0,0
63,599,4.947168534,63,0,0,1,0,0,0,0,0,0,0,0
64,657,5.062806656,64,0,0,0,1,0,0,0,0,0,0,0
65,680,5.106545762,65,0,0,0,0,1,0,0,0,0,0,0
66,759,5.248805067,66,0,0,0,0,0,1,0,0,0,0,0
67,878,5.443442365,67,0,0,0,0,0,0,1,0,0,0,0
68,881,5.448086284,68,0,0,0,0,0,0,0,1,0,0,0
69,705,5.152847377,69,0,0,0,0,0,0,0,0,1,0,0
70,684,5.11403888,70,0,0,0,0,0,0,0,0,0,1,0
71,577,4.901104396,71,0,0,0,0,0,0,0,0,0,0,1
72,656,5.060879069,72,0,0,0,0,0,0,0,0,0,0,0
73,645,5.039528767,73,1,0,0,0,0,0,0,0,0,0,0
74,593,4.934733156,74,0,1,0,0,0,0,0,0,0,0,0
75,617,4.983922621,75,0,0,1,0,0,0,0,0,0,0,0
76,686,5.11777312,76,0,0,0,1,0,0,0,0,0,0,0
77,679,5.104667319,77,0,0,0,0,1,0,0,0,0,0,0
78,773,5.272843403,78,0,0,0,0,0,1,0,0,0,0,0
79,906,5.486331551,79,0,0,0,0,0,0,1,0,0,0,0
80,934,5.528237837,80,0,0,0,0,0,0,0,1,0,0,0
81,713,5.167403588,81,0,0,0,0,0,0,0,0,1,0,0
82,710,5.161959433,82,0,0,0,0,0,0,0,0,0,1,0
83,600,4.949232004,83,0,0,0,0,0,0,0,0,0,0,1
84,676,5.099019514,84,0,0,0,0,0,0,0,0,0,0,0
85,645,5.039528767,85,1,0,0,0,0,0,0,0,0,0,0
86,602,4.953351218,86,0,1,0,0,0,0,0,0,0,0,0
87,601,4.951292896,87,0,0,1,0,0,0,0,0,0,0,0
88,709,5.160140881,88,0,0,0,1,0,0,0,0,0,0,0
89,706,5.154673657,89,0,0,0,0,1,0,0,0,0,0,0
90,817,5.34632695,90,0,0,0,0,0,1,0,0,0,0,0
91,930,5.522309423,91,0,0,0,0,0,0,1,0,0,0,0
92,983,5.599359857,92,0,0,0,0,0,0,0,1,0,0,0
93,745,5.224431847,93,0,0,0,0,0,0,0,0,1,0,0
94,735,5.206811253,94,0,0,0,0,0,0,0,0,0,1,0
95,620,4.989969859,95,0,0,0,0,0,0,0,0,0,0,1
96,698,5.140008719,96,0,0,0,0,0,0,0,0,0,0,0
97,665,5.07814867,97,1,0,0,0,0,0,0,0,0,0,0
98,626,5.001998801,98,0,1,0,0,0,0,0,0,0,0,0
99,649,5.047323886,99,0,0,1,0,0,0,0,0,0,0,0
100,740,5.215643874,100,0,0,0,1,0,0,0,0,0,0,0
101,729,5.196152423,101,0,0,0,0,1,0,0,0,0,0,0
102,824,5.357742079,102,0,0,0,0,0,1,0,0,0,0,0
103,937,5.532671663,103,0,0,0,0,0,0,1,0,0,0,0
104,994,5.614959086,104,0,0,0,0,0,0,0,1,0,0,0
105,781,5.286433318,105,0,0,0,0,0,0,0,0,1,0,0
106,759,5.248805067,106,0,0,0,0,0,0,0,0,0,1,0
107,643,5.035617605,107,0,0,0,0,0,0,0,0,0,0,1
108,728,5.19436956,108,0,0,0,0,0,0,0,0,0,0,0
109,691,5.127073128,109,1,0,0,0,0,0,0,0,0,0,0
110,649,5.047323886,110,0,1,0,0,0,0,0,0,0,0,0
111,656,5.060879069,111,0,0,1,0,0,0,0,0,0,0,0
112,735,5.206811253,112,0,0,0,1,0,0,0,0,0,0,0
113,748,5.229683419,113,0,0,0,0,1,0,0,0,0,0,0
114,837,5.378750067,114,0,0,0,0,0,1,0,0,0,0,0
115,995,5.616370767,115,0,0,0,0,0,0,1,0,0,0,0
116,1040,5.678823029,116,0,0,0,0,0,0,0,1,0,0,0
117,809,5.333190912,117,0,0,0,0,0,0,0,0,1,0,0
118,793,5.306623755,118,0,0,0,0,0,0,0,0,0,1,0
119,692,5.128927069,119,0,0,0,0,0,0,0,0,0,0,1
120,763,5.255706863,120,0,0,0,0,0,0,0,0,0,0,0
121,723,5.185427593,121,1,0,0,0,0,0,0,0,0,0,0
122,655,5.058949277,122,0,1,0,0,0,0,0,0,0,0,0
123,658,5.064732044,123,0,0,1,0,0,0,0,0,0,0,0
124,761,5.252259366,124,0,0,0,1,0,0,0,0,0,0,0
125,768,5.264296052,125,0,0,0,0,1,0,0,0,0,0,0
126,885,5.454259763,126,0,0,0,0,0,1,0,0,0,0,0
127,1067,5.715327282,127,0,0,0,0,0,0,1,0,0,0,0
128,1038,5.676090854,128,0,0,0,0,0,0,0,1,0,0,0
129,812,5.338128295,129,0,0,0,0,0,0,0,0,1,0,0
130,790,5.301597745,130,0,0,0,0,0,0,0,0,0,1,0
131,692,5.128927069,131,0,0,0,0,0,0,0,0,0,0,1
132,782,5.288124706,132,0,0,0,0,0,0,0,0,0,0,0
133,758,5.247075356,133,1,0,0,0,0,0,0,0,0,0,0
134,709,5.160140881,134,0,1,0,0,0,0,0,0,0,0,0
135,715,5.171023488,135,0,0,1,0,0,0,0,0,0,0,0
136,788,5.298239113,136,0,0,0,1,0,0,0,0,0,0,0
137,794,5.308295923,137,0,0,0,0,1,0,0,0,0,0,0
138,893,5.46654421,138,0,0,0,0,0,1,0,0,0,0,0
139,1046,5.686995978,139,0,0,0,0,0,0,1,0,0,0,0
140,1075,5.726010183,140,0,0,0,0,0,0,0,1,0,0,0
141,812,5.338128295,141,0,0,0,0,0,0,0,0,1,0,0
142,822,5.354488059,142,0,0,0,0,0,0,0,0,0,1,0
143,714,5.169214489,143,0,0,0,0,0,0,0,0,0,0,1
144,802,5.32161672,144,0,0,0,0,0,0,0,0,0,0,0
145,748,5.229683419,145,1,0,0,0,0,0,0,0,0,0,0
146,731,5.199712653,146,0,1,0,0,0,0,0,0,0,0,0
147,748,5.229683419,147,0,0,1,0,0,0,0,0,0,0,0
148,827,5.362612021,148,0,0,0,1,0,0,0,0,0,0,0
149,788,5.298239113,149,0,0,0,0,1,0,0,0,0,0,0
150,937,5.532671663,150,0,0,0,0,0,1,0,0,0,0,0
151,1076,5.72734135,151,0,0,0,0,0,0,1,0,0,0,0
152,1125,5.791460926,152,0,0,0,0,0,0,0,1,0,0,0
153,840,5.383563271,153,0,0,0,0,0,0,0,0,1,0,0
154,864,5.421612022,154,0,0,0,0,0,0,0,0,0,1,0
155,717,5.174635801,155,0,0,0,0,0,0,0,0,0,0,1
156,813,5.339771049,156,0,0,0,0,0,0,0,0,0,0,0
157,811,5.336484023,157,1,0,0,0,0,0,0,0,0,0,0
158,732,5.201490029,158,0,1,0,0,0,0,0,0,0,0,0
159,745,5.224431847,159,0,0,1,0,0,0,0,0,0,0,0
160,844,5.389960862,160,0,0,0,1,0,0,0,0,0,0,0
161,833,5.372312294,161,0,0,0,0,1,0,0,0,0,0,0
162,935,5.529716964,162,0,0,0,0,0,1,0,0,0,0,0
163,1110,5.772058775,163,0,0,0,0,0,0,1,0,0,0,0
164,1124,5.790173506,164,0,0,0,0,0,0,0,1,0,0,0
165,868,5.427876171,165,0,0,0,0,0,0,0,0,1,0,0
166,860,5.415326084,166,0,0,0,0,0,0,0,0,0,1,0
167,762,5.253983963,167,0,0,0,0,0,0,0,0,0,0,1
168,877,5.441891747,168,0,0,0,0,0,0,0,0,0,0,0
